=========== BUGS LIFE HISTORY ===========CREATED AT :: Thu Apr 03 20:57:02 2025

ID     Status    Size    Life History
----------------------------------------
101     Alive     21      Path: (2,3) (2,2) (2,1) (2,0) (1,0) (0,0) (0,1) (0,2) (0,3) (0,4) (0,5) (0,6) (0,7) (0,8) (0,9) (1,9) (2,9) (3,9) (4,9) (5,9) (6,9) 
150     Dead      1       Path: (2,1) (2,2) 
102     Dead      3       Path: (5,7) (6,7) (7,7) (8,7) (9,7) (9,8) (9,9) (9,8) 
103     Dead      4       Path: (8,8) (8,9) (7,9) 
104     Dead      6       Path: (3,4) (2,4) (1,4) (0,4) (0,5) (0,6) (0,7) (0,8) (0,9) (0,8) (0,7) (0,6) 
105     Alive     42      Path: (1,9) (1,8) (1,7) (1,6) (1,5) (1,4) (1,3) (1,2) (1,1) (1,0) (0,0) (1,0) (2,0) (3,0) (4,0) (5,0) (6,0) (7,0) (8,0) (9,0) (8,0) 
106     Alive     11      Path: (7,2) (7,3) (7,4) (7,5) (7,6) (7,7) (7,8) (7,9) (7,8) (7,7) (7,6) (7,5) (7,4) (7,3) (7,2) (7,1) (7,0) (8,0) (9,0) (9,1) (9,2) 
107     Dead      7       Path: (4,6) (5,6) (6,6) (7,6) (8,6) (9,6) (9,7) (9,8) (9,9) (9,8) (9,7) (9,6) (9,5) (9,4) (9,3) (9,2) (9,1) (9,0) (8,0) 
108     Dead      14      Path: (0,0) (1,0) (2,0) (3,0) (4,0) (5,0) (6,0) (7,0) (8,0) (9,0) (8,0) (7,0) (6,0) (5,0) (4,0) 
109     Dead      3       Path: (9,9) (9,8) (9,7) (9,6) (9,5) (9,4) (9,3) (9,2) (9,1) (9,0) 
110     Dead      5       Path: (6,5) (5,5) (4,5) (3,5) (2,5) (1,5) (0,5) (0,4) (0,3) 
111     Dead      6       Path: (3,7) (3,8) (3,9) (2,9) (1,9) (0,9) (1,9) (2,9) 
112     Dead      4       Path: (8,1) (9,1) (8,1) (7,1) (6,1) (5,1) (4,1) (3,1) (2,1) (1,1) (0,1) (1,1) (2,1) (3,1) (4,1) (5,1) (6,1) (7,1) (8,1) (9,1) 
113     Dead      7       Path: (2,8) (2,7) (2,6) (2,5) (2,4) (2,3) (2,2) (2,1) (2,0) (1,0) 
114     Dead      2       Path: (5,3) (4,3) (3,3) (2,3) (1,3) (0,3) (1,3) 
115     Alive     18      Path: (7,7) (7,8) (7,9) (6,9) (5,9) (4,9) (3,9) (2,9) (1,9) (0,9) (1,9) (2,9) (3,9) (4,9) (5,9) (6,9) (7,9) (8,9) (9,9) (9,8) (9,7) 
116     Alive     5       Path: (1,5) (2,5) (3,5) (4,5) (5,5) (6,5) (7,5) (8,5) (9,5) (8,5) (7,5) (6,5) (5,5) (4,5) (3,5) (2,5) (1,5) (0,5) (0,6) (0,7) (0,8) 
117     Dead      3       Path: (4,2) (4,1) (4,0) (3,0) 
118     Alive     6       Path: (9,6) (8,6) (7,6) (6,6) (5,6) (4,6) (3,6) (2,6) (1,6) (0,6) (1,6) (2,6) (3,6) (4,6) (5,6) (6,6) (7,6) (8,6) (9,6) (9,5) (9,4) 
119     Dead      4       Path: (6,1) (6,2) (6,3) (6,4) (6,5) (6,6) (6,7) (6,8) (6,9) (5,9) (4,9) (3,9) (2,9) (1,9) (0,9) 
120     Dead      7       Path: (2,4) (3,4) (4,4) (5,4) (6,4) (7,4) (8,4) (9,4) (9,3) (9,2) (9,1) (9,0) (8,0) (7,0) (6,0) (5,0) 
